gene symbol	(count) FRA_46_FA_336
BCO2	0
BCOR	12
BCORL1	1
BCORP1	2
BCR	9
BCRP2	0
BCRP3	0
BCS1L	13
BCYRN1	16
BDH1	44
BDH2	8
BDKRB1	0
BDKRB2	0
BDNF	17
BDP1	11
BEAN1	31
BECN1	9
BEGAIN	5
BEND2	37
BEND3	0
BEND4	1
BEND5	0
BEND6	0
BEND7	0
BEST1	180
BEST2	1
BEST3	0
BEST4	10
BET1	0
BET1L	0
BEX1	0
BEX2	2
BEX4	3
BEX5	0
BFAR	3
BFSP1	0
BFSP2	4
BGN	3
BHLHA15	13
BHLHA9	0
BHLHB9	0
BHLHE22	0
BHLHE23	0
BHLHE40	8
BHLHE41	29
BHMT	2
BHMT2	129
BICC1	0
BICD1	0
BICD2	15
BID	45
BIK	14
BIN1	10
BIN2	24
BIN3	9
BIRC2	2
BIRC3	6
BIRC5	0
BIRC6	10
BIRC7	0
BIRC8	0
BIVM	57
BLCAP	3
BLID	0
BLK	6
BLM	3
BLMH	1
BLNK	1
BLOC1S1	18
BLOC1S2	2
BLOC1S3	24
BLVRA	0
BLVRB	2
BLZF1	13
BMF	1
BMP1	1
BMP10	0
BMP15	0
BMP2	0
BMP2K	31
BMP3	8
BMP4	0
BMP5	0
BMP6	1497
BMP7	162
BMP8A	196
BMP8B	128
BMPER	0
BMPR1A	0
BMPR1B	0
BMPR2	25
BMS1	14
BMS1P1	14
BMS1P4	65
BMX	0
BNC1	0
BNC2	1
BNIP1	0
BNIP2	11
BNIP3	48
BNIP3L	3
BNIPL	51
BOC	19
BOD1	2
BOK	10
BOK-AS1	0
BOLA1	0
BOLA2	0
BOLA3	0
BOLL	8
BOP1	19
BPESC1	0
BPGM	2
BPHL	4
BPI	0
BPNT1	37
BPTF	44
BPY2	0
BRAF	1
BRAP	3
BRAT1	101
BRCA1	51
BRCA2	28
BRCC3	4
BRD1	120
BRD2	34
BRD3	35
BRD4	25
BRD7	89
BRD7P3	118
BRD8	1
BRD9	8
BRDT	43
BRE	0
BREA2	34
BRF1	25
BRF2	1
BRI3	16
BRI3BP	0
BRIP1	178
BRIX1	25
BRK1	7
BRMS1	8
BRMS1L	0
BROX	5
BRPF1	12
BRPF3	4
BRS3	0
BRSK1	4
BRSK2	21
BRWD1	42
BRWD3	37
BSCL2	30
BSDC1	6
BSG	5
BSN	40
BSND	0
BSPH1	0
BSPRY	0
BST1	0
BST2	2
BSX	0
BTAF1	8
BTBD1	22
BTBD10	19
BTBD11	17
BTBD16	0
BTBD17	0
BTBD18	106
BTBD19	0
BTBD2	71
BTBD3	0
BTBD6	26
BTBD7	7
BTBD8	0
BTBD9	108
BTC	0
BTD	0
BTF3	54
BTF3L4	0
BTF3P11	0
BTG1	16
BTG2	5
BTG3	3
BTG4	0
BTK	0
BTLA	3
BTN1A1	5
BTN2A1	7
BTN2A2	4
BTN3A1	16
BTN3A2	24
BTN3A3	4
BTNL2	11
BTNL3	0
BTNL8	0
BTNL9	0
BTRC	10
BUB1	0
BUB1B	2
BUB3	1
BUD13	2
BUD31	31
BVES	31
BYSL	356
BZRAP1	14
BZW1	9
BZW2	1
C10orf10	71
C10orf105	155
C10orf107	0
C10orf11	0
C10orf111	17
C10orf112	0
C10orf113	0
C10orf114	0
C10orf118	9
C10orf12	5
C10orf120	0
C10orf128	0
C10orf129	8
C10orf131	11
C10orf137	1
C10orf18	65
C10orf2	1
C10orf25	52
C10orf32	168
C10orf35	0
C10orf40	0
C10orf53	0
C10orf54	97
C10orf55	2
C10orf62	0
C10orf67	3
C10orf71	0
C10orf76	30
C10orf82	0
C10orf88	0
C10orf90	0
C10orf91	0
C10orf95	71
C10orf99	1
C11orf1	1
C11orf16	9
C11orf21	26
C11orf24	6
C11orf30	0
C11orf31	4
C11orf34	24
C11orf35	29
C11orf40	1
C11orf42	28
C11orf44	30
C11orf45	1
C11orf48	18
C11orf49	148
C11orf53	1
C11orf54	9
C11orf57	110
C11orf58	153
C11orf63	28
C11orf65	2
C11orf68	1
C11orf70	35
C11orf71	2
C11orf73	0
C11orf74	0
C11orf80	45
C11orf82	0
C11orf83	32
C11orf84	6
C11orf85	0
C11orf86	0
